#####################################################################
# Alchemist log file - simulation started at: 2024-11-05T15:56+0000 #
#####################################################################
#
# seed = 0.0, walking_speed = 1.4
#
# The columns have the following meaning: 
# time best-value[min] best-value[max] best-value[mean] local-value[min] local-value[max] local-value[mean] path-length[min] path-length[max] path-length[mean] neighbors-size[min] neighbors-size[max] neighbors-size[mean] 
43.00011337332647 0.00175 0.653 0.00723 0.00175 0.989 0.517 2.00 54.0 32.4 1.00 22.0 9.51
44.000113373326485 0.00175 0.228 0.00402 0.00175 0.989 0.517 2.00 54.0 31.5 2.00 22.0 9.60
45.0001133733265 0.00175 0.228 0.00588 0.00175 0.989 0.517 2.00 55.0 31.7 1.00 21.0 9.60
46.00011337332651 0.00175 0.184 0.00267 0.00175 0.989 0.517 2.00 57.0 33.3 1.00 22.0 9.57
47.00011337332653 0.00175 0.874 0.0229 0.00175 0.989 0.517 2.00 58.0 32.1 0.00 21.0 9.49
48.00011337332654 0.00175 0.865 0.0143 0.00175 0.989 0.517 2.00 59.0 33.2 1.00 19.0 9.26
49.000113373326556 0.00175 0.837 0.0153 0.00175 0.989 0.517 2.00 60.0 33.5 1.00 21.0 9.24
50.00011337332657 0.00175 0.837 0.0172 0.00175 0.989 0.517 2.00 61.0 34.2 1.00 19.0 9.22
51.000113373326585 0.00175 0.828 0.0122 0.00175 0.989 0.517 2.00 62.0 35.0 2.00 20.0 9.03
52.0001133733266 0.00175 0.914 0.0166 0.00175 0.989 0.517 2.00 63.0 34.3 2.00 19.0 8.92
53.00011337332661 0.00175 0.837 0.0192 0.00175 0.989 0.517 2.00 64.0 34.6 1.00 17.0 8.83
54.00011337332663 0.00175 0.653 0.0120 0.00175 0.989 0.517 2.00 66.0 34.6 1.00 19.0 8.64
55.00011337332664 0.00175 0.794 0.0234 0.00175 0.989 0.517 2.00 67.0 35.8 1.00 16.0 8.82
56.000113373326656 0.00175 0.794 0.0173 0.00175 0.989 0.517 2.00 68.0 36.1 1.00 17.0 8.87
57.00011337332667 0.00175 0.854 0.0169 0.00175 0.989 0.517 2.00 70.0 36.1 1.00 17.0 8.87
58.000113373326684 0.00175 0.794 0.0116 0.00175 0.989 0.517 2.00 71.0 36.7 1.00 18.0 8.89
59.0001133733267 0.00175 0.0605 0.00263 0.00175 0.989 0.517 2.00 72.0 36.9 1.00 19.0 8.88
60.00011337332671 0.00175 0.865 0.0122 0.00175 0.989 0.517 2.00 74.0 35.9 0.00 17.0 8.78
61.00011337332673 0.00175 0.865 0.0146 0.00175 0.989 0.517 2.00 75.0 36.9 0.00 18.0 8.61
62.00011337332674 0.00175 0.858 0.0269 0.00175 0.989 0.517 2.00 76.0 36.0 0.00 17.0 8.48
63.000113373326755 0.00175 0.653 0.0125 0.00175 0.989 0.517 2.00 77.0 36.1 1.00 16.0 8.59
64.00011337332677 0.00175 0.957 0.0256 0.00175 0.989 0.517 2.00 77.0 34.8 1.00 16.0 8.88
65.00011337332671 0.00175 0.865 0.0256 0.00175 0.989 0.517 2.00 67.0 34.2 2.00 18.0 9.03
66.00011337332666 0.00175 0.794 0.0202 0.00175 0.989 0.517 2.00 68.0 34.0 1.00 20.0 9.13
67.0001133733266 0.00175 0.914 0.0170 0.00175 0.989 0.517 2.00 65.0 32.6 2.00 20.0 9.05
68.00011337332654 0.00175 0.315 0.00809 0.00175 0.989 0.517 2.00 67.0 31.7 1.00 20.0 9.03
69.00011337332649 0.00175 0.942 0.0246 0.00175 0.989 0.517 2.00 67.0 30.3 2.00 20.0 9.07
70.00011337332643 0.00175 0.759 0.0147 0.00175 0.989 0.517 2.00 68.0 30.6 2.00 19.0 9.00
71.00011337332637 0.00175 0.702 0.0172 0.00175 0.989 0.517 2.00 69.0 30.6 1.00 19.0 8.92
72.00011337332631 0.00175 0.975 0.0209 0.00175 0.989 0.517 2.00 70.0 30.8 1.00 20.0 9.10
73.00011337332626 0.00175 0.514 0.0100 0.00175 0.989 0.517 2.00 72.0 31.3 0.00 19.0 9.48
74.0001133733262 0.00175 0.686 0.00843 0.00175 0.989 0.517 2.00 72.0 31.5 1.00 20.0 9.32
75.00011337332614 0.00175 0.536 0.0119 0.00175 0.989 0.517 2.00 73.0 30.8 1.00 20.0 9.51
76.00011337332609 0.00175 0.759 0.00928 0.00175 0.989 0.517 2.00 66.0 29.1 1.00 19.0 9.43
77.00011337332603 0.00175 0.731 0.0140 0.00175 0.989 0.517 2.00 64.0 27.9 1.00 21.0 9.57
78.00011337332597 0.00175 0.858 0.0221 0.00175 0.989 0.517 2.00 65.0 28.2 0.00 17.0 9.24
79.00011337332592 0.00175 0.975 0.0239 0.00175 0.989 0.517 2.00 66.0 27.7 1.00 19.0 9.00
80.00011337332586 0.00175 0.865 0.00933 0.00175 0.989 0.517 2.00 68.0 28.4 0.00 19.0 9.06
81.0001133733258 0.00175 0.731 0.0116 0.00175 0.989 0.517 2.00 69.0 26.7 1.00 18.0 9.09
82.00011337332575 0.00175 0.482 0.00724 0.00175 0.989 0.517 2.00 70.0 26.4 1.00 18.0 9.06
83.00011337332569 0.00175 0.957 0.0188 0.00175 0.989 0.517 2.00 48.0 24.2 1.00 19.0 9.13
84.00011337332563 0.00175 0.903 0.0146 0.00175 0.989 0.517 2.00 50.0 23.9 0.00 19.0 8.96
85.00011337332558 0.00175 0.837 0.0100 0.00175 0.989 0.517 2.00 52.0 24.0 1.00 19.0 8.97
86.00011337332552 0.00175 0.260 0.00835 0.00175 0.989 0.517 2.00 52.0 23.2 2.00 19.0 8.88
87.00011337332546 0.00175 0.957 0.0286 0.00175 0.989 0.517 2.00 51.0 23.2 2.00 19.0 8.82
88.0001133733254 0.00175 0.957 0.0162 0.00175 0.989 0.517 2.00 52.0 23.9 2.00 19.0 8.74
89.00011337332535 0.00175 0.617 0.0156 0.00175 0.989 0.517 2.00 53.0 24.3 3.00 18.0 8.85
90.00011337332529 0.00175 0.837 0.0248 0.00175 0.989 0.517 2.00 54.0 23.6 1.00 18.0 8.75
91.00011337332523 0.00175 0.837 0.0119 0.00175 0.989 0.517 2.00 55.0 24.8 1.00 16.0 8.61
92.00011337332518 0.00175 0.948 0.0219 0.00175 0.989 0.517 2.00 56.0 24.9 2.00 17.0 8.45
93.00011337332512 0.00175 0.858 0.0140 0.00175 0.989 0.517 2.00 57.0 26.0 2.00 17.0 8.38
94.00011337332506 0.00175 0.482 0.00642 0.00175 0.989 0.517 2.00 58.0 26.4 1.00 17.0 8.35
95.00011337332501 0.00175 0.965 0.0133 0.00175 0.989 0.517 2.00 59.0 25.8 0.00 18.0 8.20
96.00011337332495 0.00175 0.556 0.0137 0.00175 0.989 0.517 2.00 60.0 27.0 1.00 19.0 8.17
97.0001133733249 0.00175 0.767 0.0106 0.00175 0.989 0.517 2.00 63.0 29.2 1.00 17.0 8.19
98.00011337332484 0.00175 0.826 0.0180 0.00175 0.989 0.517 2.00 64.0 28.5 1.00 21.0 8.20
99.00011337332478 0.00175 0.801 0.0195 0.00175 0.989 0.517 2.00 64.0 27.1 1.00 16.0 8.22
100.00011337332472 0.00175 0.466 0.00895 0.00175 0.989 0.517 2.00 65.0 28.1 2.00 16.0 8.11
101.00011337332467 0.00175 0.665 0.00864 0.00212 0.989 0.465 2.00 65.0 28.7 2.00 17.0 8.31
102.00011337332461 0.00175 0.738 0.0248 0.00212 0.989 0.465 2.00 67.0 28.5 1.00 18.0 8.32
103.00011337332455 0.00175 0.969 0.0217 0.00212 0.989 0.465 2.00 68.0 28.3 1.00 17.0 8.50
104.0001133733245 0.00175 0.969 0.0315 0.00212 0.989 0.465 2.00 69.0 28.0 1.00 16.0 8.60
105.00011337332444 0.00175 0.718 0.0185 0.00212 0.989 0.465 2.00 70.0 28.7 1.00 17.0 8.65
106.00011337332438 0.00175 0.738 0.0161 0.00212 0.989 0.465 2.00 71.0 28.9 2.00 17.0 8.48
107.00011337332433 0.00175 0.892 0.0264 0.00212 0.989 0.465 2.00 59.0 28.2 1.00 18.0 8.41
108.00011337332427 0.00175 0.665 0.0183 0.00212 0.989 0.465 2.00 60.0 28.1 1.00 15.0 8.55
109.00011337332421 0.00175 0.892 0.0154 0.00212 0.989 0.465 2.00 61.0 28.5 1.00 16.0 8.56
110.00011337332415 0.00175 0.803 0.0165 0.00212 0.989 0.465 2.00 62.0 28.1 2.00 17.0 8.77
111.0001133733241 0.00175 0.803 0.0135 0.00212 0.989 0.465 2.00 63.0 27.3 3.00 17.0 8.73
112.00011337332404 0.00175 0.803 0.00908 0.00212 0.989 0.465 2.00 64.0 28.1 2.00 18.0 8.91
113.00011337332398 0.00175 0.665 0.00978 0.00212 0.989 0.465 2.00 61.0 28.0 3.00 18.0 9.03
114.00011337332393 0.00175 0.738 0.00943 0.00212 0.989 0.465 2.00 57.0 29.0 3.00 20.0 9.06
115.00011337332387 0.00175 0.958 0.0126 0.00212 0.989 0.465 2.00 58.0 30.4 2.00 23.0 8.82
