#####################################################################
# Alchemist log file - simulation started at: 2024-11-26T13:38+0000 #
#####################################################################
#
# seed = 10.0
#
# The columns have the following meaning: 
# time best-value[min] best-value[max] best-value[mean] local-value[min] local-value[max] local-value[mean] path-length[min] path-length[max] path-length[mean] neighbors-size[min] neighbors-size[max] neighbors-size[mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0036005446229951943 0.414 0.414 0.414 0.414 0.414 0.414 1.00 1.00 1.00 0.00 0.00 0.00
1.0036005446229952 0.000704 0.908 0.0979 0.000704 0.992 0.457 1.00 6.00 2.74 0.00 23.0 6.96
2.003600544622995 0.000704 0.0518 0.00383 0.000704 0.992 0.457 1.00 11.0 4.93 5.00 24.0 13.8
3.003600544622995 0.000704 0.00891 0.000909 0.000704 0.992 0.457 1.00 11.0 5.37 5.00 24.0 13.8
4.003600544622995 0.000704 0.000704 0.000704 0.000704 0.992 0.457 1.00 10.0 5.34 5.00 24.0 13.8
5.003600544622995 0.000704 0.000704 0.000704 0.000704 0.992 0.457 1.00 10.0 5.31 5.00 24.0 13.8
6.003600544622995 0.000704 0.000704 0.000704 0.000704 0.992 0.457 1.00 10.0 5.30 5.00 24.0 13.8
7.003600544622995 0.000704 0.000704 0.000704 0.000704 0.992 0.457 1.00 10.0 5.30 5.00 24.0 13.8
8.003600544622994 0.000704 0.000704 0.000704 0.000704 0.992 0.457 1.00 10.0 5.30 5.00 24.0 13.8
9.003600544622994 0.000704 0.000704 0.000704 0.000704 0.992 0.457 1.00 10.0 5.30 5.00 24.0 13.8
10.003600544622994 0.000704 0.000704 0.000704 0.000704 0.992 0.457 1.00 10.0 5.30 5.00 24.0 13.8
#####################################################################
# End of data export. Simulation finished at: 2024-11-26T13:38+0000 #
#####################################################################
