#####################################################################
# Alchemist log file - simulation started at: 2024-11-26T13:38+0000 #
#####################################################################
#
# seed = 6.0
#
# The columns have the following meaning: 
# time best-value[min] best-value[max] best-value[mean] local-value[min] local-value[max] local-value[mean] path-length[min] path-length[max] path-length[mean] neighbors-size[min] neighbors-size[max] neighbors-size[mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.004358164239918416 0.0993 0.0993 0.0993 0.0993 0.0993 0.0993 1.00 1.00 1.00 0.00 0.00 0.00
1.0043581642399184 0.00128 0.947 0.106 0.00128 0.998 0.500 1.00 8.00 2.95 0.00 26.0 7.38
2.0043581642399184 0.00128 0.0935 0.00455 0.00128 0.998 0.500 1.00 10.0 4.87 3.00 28.0 14.5
3.0043581642399184 0.00128 0.00219 0.00129 0.00128 0.998 0.500 1.00 10.0 5.36 3.00 28.0 14.5
4.004358164239918 0.00128 0.00128 0.00128 0.00128 0.998 0.500 1.00 10.0 5.33 3.00 28.0 14.5
5.004358164239918 0.00128 0.00128 0.00128 0.00128 0.998 0.500 1.00 10.0 5.33 3.00 28.0 14.5
6.004358164239918 0.00128 0.00128 0.00128 0.00128 0.998 0.500 1.00 10.0 5.33 3.00 28.0 14.5
7.004358164239918 0.00128 0.00128 0.00128 0.00128 0.998 0.500 1.00 10.0 5.33 3.00 28.0 14.5
8.004358164239918 0.00128 0.00128 0.00128 0.00128 0.998 0.500 1.00 10.0 5.33 3.00 28.0 14.5
9.004358164239918 0.00128 0.00128 0.00128 0.00128 0.998 0.500 1.00 10.0 5.33 3.00 28.0 14.5
10.004358164239918 0.00128 0.00128 0.00128 0.00128 0.998 0.500 1.00 10.0 5.33 3.00 28.0 14.5
#####################################################################
# End of data export. Simulation finished at: 2024-11-26T13:38+0000 #
#####################################################################
