#####################################################################
# Alchemist log file - simulation started at: 2024-11-26T13:38+0000 #
#####################################################################
#
# seed = 3.0
#
# The columns have the following meaning: 
# time best-value[min] best-value[max] best-value[mean] local-value[min] local-value[max] local-value[mean] path-length[min] path-length[max] path-length[mean] neighbors-size[min] neighbors-size[max] neighbors-size[mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0016359619213666132 0.849 0.849 0.849 0.849 0.849 0.849 1.00 1.00 1.00 0.00 0.00 0.00
1.0016359619213666 0.00165 0.967 0.179 0.00165 0.998 0.507 1.00 7.00 2.51 0.00 20.0 7.18
2.001635961921367 0.00165 0.0382 0.00819 0.00165 0.998 0.507 1.00 11.0 4.56 3.00 25.0 14.3
3.001635961921367 0.00165 0.00165 0.00165 0.00165 0.998 0.507 1.00 11.0 5.72 3.00 25.0 14.3
4.001635961921367 0.00165 0.00165 0.00165 0.00165 0.998 0.507 1.00 9.00 5.44 3.00 25.0 14.3
5.001635961921367 0.00165 0.00165 0.00165 0.00165 0.998 0.507 1.00 9.00 5.44 3.00 25.0 14.3
6.001635961921367 0.00165 0.00165 0.00165 0.00165 0.998 0.507 1.00 9.00 5.44 3.00 25.0 14.3
7.001635961921367 0.00165 0.00165 0.00165 0.00165 0.998 0.507 1.00 9.00 5.44 3.00 25.0 14.3
8.001635961921366 0.00165 0.00165 0.00165 0.00165 0.998 0.507 1.00 9.00 5.44 3.00 25.0 14.3
9.001635961921366 0.00165 0.00165 0.00165 0.00165 0.998 0.507 1.00 9.00 5.44 3.00 25.0 14.3
10.001635961921366 0.00165 0.00165 0.00165 0.00165 0.998 0.507 1.00 9.00 5.44 3.00 25.0 14.3
#####################################################################
# End of data export. Simulation finished at: 2024-11-26T13:38+0000 #
#####################################################################
