#####################################################################
# Alchemist log file - simulation started at: 2024-11-26T13:38+0000 #
#####################################################################
#
# seed = 4.0
#
# The columns have the following meaning: 
# time best-value[min] best-value[max] best-value[mean] local-value[min] local-value[max] local-value[mean] path-length[min] path-length[max] path-length[mean] neighbors-size[min] neighbors-size[max] neighbors-size[mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.004819367455573431 0.855 0.855 0.855 0.855 0.855 0.855 1.00 1.00 1.00 0.00 0.00 0.00
1.0048193674555734 0.00223 0.936 0.0678 0.00223 0.997 0.496 1.00 7.00 2.92 0.00 22.0 6.87
2.0048193674555734 0.00223 0.0101 0.00266 0.00223 0.997 0.496 1.00 14.0 5.81 3.00 25.0 13.6
3.0048193674555734 0.00223 0.00223 0.00223 0.00223 0.997 0.496 1.00 11.0 6.30 3.00 25.0 13.6
4.004819367455573 0.00223 0.00223 0.00223 0.00223 0.997 0.496 1.00 10.0 6.05 3.00 25.0 13.6
5.004819367455573 0.00223 0.00223 0.00223 0.00223 0.997 0.496 1.00 10.0 6.02 3.00 25.0 13.6
6.004819367455573 0.00223 0.00223 0.00223 0.00223 0.997 0.496 1.00 10.0 6.02 3.00 25.0 13.6
7.004819367455573 0.00223 0.00223 0.00223 0.00223 0.997 0.496 1.00 10.0 6.02 3.00 25.0 13.6
8.004819367455573 0.00223 0.00223 0.00223 0.00223 0.997 0.496 1.00 10.0 6.02 3.00 25.0 13.6
9.004819367455573 0.00223 0.00223 0.00223 0.00223 0.997 0.496 1.00 10.0 6.02 3.00 25.0 13.6
10.004819367455573 0.00223 0.00223 0.00223 0.00223 0.997 0.496 1.00 10.0 6.02 3.00 25.0 13.6
#####################################################################
# End of data export. Simulation finished at: 2024-11-26T13:38+0000 #
#####################################################################
