#####################################################################
# Alchemist log file - simulation started at: 2024-11-26T13:38+0000 #
#####################################################################
#
# seed = 9.0
#
# The columns have the following meaning: 
# time best-value[min] best-value[max] best-value[mean] local-value[min] local-value[max] local-value[mean] path-length[min] path-length[max] path-length[mean] neighbors-size[min] neighbors-size[max] neighbors-size[mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.007825810686061807 0.912 0.912 0.912 0.912 0.912 0.912 1.00 1.00 1.00 0.00 0.00 0.00
1.0078258106860618 0.00153 0.929 0.115 0.00153 0.995 0.511 1.00 9.00 2.90 0.00 23.0 7.02
2.007825810686062 0.00153 0.115 0.0124 0.00153 0.995 0.511 1.00 10.0 4.86 4.00 26.0 14.0
3.007825810686062 0.00153 0.0234 0.00190 0.00153 0.995 0.511 1.00 15.0 6.79 4.00 26.0 14.0
4.007825810686062 0.00153 0.00153 0.00153 0.00153 0.995 0.511 1.00 11.0 6.38 4.00 26.0 14.0
5.007825810686062 0.00153 0.00153 0.00153 0.00153 0.995 0.511 1.00 11.0 6.35 4.00 26.0 14.0
6.007825810686062 0.00153 0.00153 0.00153 0.00153 0.995 0.511 1.00 11.0 6.33 4.00 26.0 14.0
7.007825810686062 0.00153 0.00153 0.00153 0.00153 0.995 0.511 1.00 11.0 6.33 4.00 26.0 14.0
8.007825810686061 0.00153 0.00153 0.00153 0.00153 0.995 0.511 1.00 11.0 6.33 4.00 26.0 14.0
9.007825810686061 0.00153 0.00153 0.00153 0.00153 0.995 0.511 1.00 11.0 6.33 4.00 26.0 14.0
10.007825810686061 0.00153 0.00153 0.00153 0.00153 0.995 0.511 1.00 11.0 6.33 4.00 26.0 14.0
#####################################################################
# End of data export. Simulation finished at: 2024-11-26T13:38+0000 #
#####################################################################
