#####################################################################
# Alchemist log file - simulation started at: 2024-11-26T13:38+0000 #
#####################################################################
#
# seed = 14.0
#
# The columns have the following meaning: 
# time best-value[min] best-value[max] best-value[mean] local-value[min] local-value[max] local-value[mean] path-length[min] path-length[max] path-length[mean] neighbors-size[min] neighbors-size[max] neighbors-size[mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.009000822353858684 0.500 0.500 0.500 0.500 0.500 0.500 1.00 1.00 1.00 0.00 0.00 0.00
1.0090008223538587 0.00158 0.916 0.106 0.00158 0.992 0.494 1.00 6.00 2.70 0.00 23.0 7.09
2.0090008223538587 0.00158 0.0651 0.00389 0.00158 0.992 0.494 1.00 11.0 4.81 5.00 26.0 14.1
3.0090008223538587 0.00158 0.00158 0.00158 0.00158 0.992 0.494 1.00 11.0 5.03 5.00 26.0 14.1
4.009000822353858 0.00158 0.00158 0.00158 0.00158 0.992 0.494 1.00 9.00 4.89 5.00 26.0 14.1
5.009000822353858 0.00158 0.00158 0.00158 0.00158 0.992 0.494 1.00 9.00 4.88 5.00 26.0 14.1
6.009000822353858 0.00158 0.00158 0.00158 0.00158 0.992 0.494 1.00 9.00 4.88 5.00 26.0 14.1
7.009000822353858 0.00158 0.00158 0.00158 0.00158 0.992 0.494 1.00 9.00 4.88 5.00 26.0 14.1
8.009000822353858 0.00158 0.00158 0.00158 0.00158 0.992 0.494 1.00 9.00 4.88 5.00 26.0 14.1
9.009000822353858 0.00158 0.00158 0.00158 0.00158 0.992 0.494 1.00 9.00 4.88 5.00 26.0 14.1
10.009000822353858 0.00158 0.00158 0.00158 0.00158 0.992 0.494 1.00 9.00 4.88 5.00 26.0 14.1
#####################################################################
# End of data export. Simulation finished at: 2024-11-26T13:38+0000 #
#####################################################################
