#####################################################################
# Alchemist log file - simulation started at: 2024-11-26T13:38+0000 #
#####################################################################
#
# seed = 7.0
#
# The columns have the following meaning: 
# time best-value[min] best-value[max] best-value[mean] local-value[min] local-value[max] local-value[mean] path-length[min] path-length[max] path-length[mean] neighbors-size[min] neighbors-size[max] neighbors-size[mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0016169583478660154 0.466 0.466 0.466 0.466 0.466 0.466 1.00 1.00 1.00 0.00 0.00 0.00
1.001616958347866 0.00225 0.862 0.0801 0.00225 0.999 0.491 1.00 7.00 2.67 0.00 25.0 7.03
2.0016169583478662 0.00225 0.0196 0.00512 0.00225 0.999 0.491 1.00 8.00 3.95 3.00 25.0 13.9
3.0016169583478662 0.00225 0.00427 0.00290 0.00225 0.999 0.491 1.00 10.0 5.17 3.00 25.0 13.9
4.001616958347866 0.00225 0.00225 0.00225 0.00225 0.999 0.491 1.00 10.0 5.59 3.00 25.0 13.9
5.001616958347866 0.00225 0.00225 0.00225 0.00225 0.999 0.491 1.00 10.0 5.52 3.00 25.0 13.9
6.001616958347866 0.00225 0.00225 0.00225 0.00225 0.999 0.491 1.00 10.0 5.51 3.00 25.0 13.9
7.001616958347866 0.00225 0.00225 0.00225 0.00225 0.999 0.491 1.00 10.0 5.51 3.00 25.0 13.9
8.001616958347867 0.00225 0.00225 0.00225 0.00225 0.999 0.491 1.00 10.0 5.51 3.00 25.0 13.9
9.001616958347867 0.00225 0.00225 0.00225 0.00225 0.999 0.491 1.00 10.0 5.51 3.00 25.0 13.9
10.001616958347867 0.00225 0.00225 0.00225 0.00225 0.999 0.491 1.00 10.0 5.51 3.00 25.0 13.9
#####################################################################
# End of data export. Simulation finished at: 2024-11-26T13:38+0000 #
#####################################################################
