#####################################################################
# Alchemist log file - simulation started at: 2024-11-26T13:38+0000 #
#####################################################################
#
# seed = 1.0
#
# The columns have the following meaning: 
# time best-value[min] best-value[max] best-value[mean] local-value[min] local-value[max] local-value[mean] path-length[min] path-length[max] path-length[mean] neighbors-size[min] neighbors-size[max] neighbors-size[mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.004885589795766698 0.427 0.427 0.427 0.427 0.427 0.427 1.00 1.00 1.00 0.00 0.00 0.00
1.0048855897957667 0.00578 0.954 0.119 0.00578 0.985 0.497 1.00 9.00 2.74 0.00 21.0 6.97
2.0048855897957667 0.00578 0.0982 0.0101 0.00578 0.985 0.497 1.00 10.0 4.41 3.00 22.0 13.8
3.0048855897957667 0.00578 0.00590 0.00578 0.00578 0.985 0.497 1.00 9.00 5.05 3.00 22.0 13.8
4.004885589795767 0.00578 0.00578 0.00578 0.00578 0.985 0.497 1.00 9.00 5.04 3.00 22.0 13.8
5.004885589795767 0.00578 0.00578 0.00578 0.00578 0.985 0.497 1.00 9.00 5.04 3.00 22.0 13.8
6.004885589795767 0.00578 0.00578 0.00578 0.00578 0.985 0.497 1.00 9.00 5.04 3.00 22.0 13.8
7.004885589795767 0.00578 0.00578 0.00578 0.00578 0.985 0.497 1.00 9.00 5.04 3.00 22.0 13.8
8.004885589795766 0.00578 0.00578 0.00578 0.00578 0.985 0.497 1.00 9.00 5.04 3.00 22.0 13.8
9.004885589795766 0.00578 0.00578 0.00578 0.00578 0.985 0.497 1.00 9.00 5.04 3.00 22.0 13.8
10.004885589795766 0.00578 0.00578 0.00578 0.00578 0.985 0.497 1.00 9.00 5.04 3.00 22.0 13.8
#####################################################################
# End of data export. Simulation finished at: 2024-11-26T13:38+0000 #
#####################################################################
