#####################################################################
# Alchemist log file - simulation started at: 2024-11-26T13:38+0000 #
#####################################################################
#
# seed = 8.0
#
# The columns have the following meaning: 
# time best-value[min] best-value[max] best-value[mean] local-value[min] local-value[max] local-value[mean] path-length[min] path-length[max] path-length[mean] neighbors-size[min] neighbors-size[max] neighbors-size[mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0034446774019158966 0.623 0.623 0.623 0.623 0.623 0.623 1.00 1.00 1.00 0.00 0.00 0.00
1.003444677401916 0.00123 0.980 0.0809 0.00123 0.991 0.480 1.00 8.00 3.01 0.00 24.0 7.39
2.003444677401916 0.00123 0.0116 0.00156 0.00123 0.991 0.480 1.00 12.0 6.25 4.00 25.0 14.6
3.003444677401916 0.00123 0.00123 0.00123 0.00123 0.991 0.480 1.00 11.0 6.28 4.00 25.0 14.6
4.003444677401916 0.00123 0.00123 0.00123 0.00123 0.991 0.480 1.00 10.0 6.08 4.00 25.0 14.6
5.003444677401916 0.00123 0.00123 0.00123 0.00123 0.991 0.480 1.00 10.0 6.05 4.00 25.0 14.6
6.003444677401916 0.00123 0.00123 0.00123 0.00123 0.991 0.480 1.00 10.0 6.05 4.00 25.0 14.6
7.003444677401916 0.00123 0.00123 0.00123 0.00123 0.991 0.480 1.00 10.0 6.05 4.00 25.0 14.6
8.003444677401916 0.00123 0.00123 0.00123 0.00123 0.991 0.480 1.00 10.0 6.05 4.00 25.0 14.6
9.003444677401916 0.00123 0.00123 0.00123 0.00123 0.991 0.480 1.00 10.0 6.05 4.00 25.0 14.6
10.003444677401916 0.00123 0.00123 0.00123 0.00123 0.991 0.480 1.00 10.0 6.05 4.00 25.0 14.6
#####################################################################
# End of data export. Simulation finished at: 2024-11-26T13:38+0000 #
#####################################################################
