#####################################################################
# Alchemist log file - simulation started at: 2024-11-26T13:38+0000 #
#####################################################################
#
# seed = 11.0
#
# The columns have the following meaning: 
# time best-value[min] best-value[max] best-value[mean] local-value[min] local-value[max] local-value[mean] path-length[min] path-length[max] path-length[mean] neighbors-size[min] neighbors-size[max] neighbors-size[mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0028758930102714686 0.697 0.697 0.697 0.697 0.697 0.697 1.00 1.00 1.00 0.00 0.00 0.00
1.0028758930102715 0.0316 0.967 0.102 0.0316 0.992 0.517 1.00 6.00 2.96 0.00 20.0 7.09
2.0028758930102715 0.0316 0.0513 0.0344 0.0316 0.992 0.517 1.00 8.00 4.33 2.00 23.0 14.1
3.0028758930102715 0.0316 0.0316 0.0316 0.0316 0.992 0.517 1.00 8.00 4.58 2.00 23.0 14.1
4.0028758930102715 0.0316 0.0316 0.0316 0.0316 0.992 0.517 1.00 8.00 4.56 2.00 23.0 14.1
5.0028758930102715 0.0316 0.0316 0.0316 0.0316 0.992 0.517 1.00 8.00 4.56 2.00 23.0 14.1
6.0028758930102715 0.0316 0.0316 0.0316 0.0316 0.992 0.517 1.00 8.00 4.56 2.00 23.0 14.1
7.0028758930102715 0.0316 0.0316 0.0316 0.0316 0.992 0.517 1.00 8.00 4.56 2.00 23.0 14.1
8.002875893010271 0.0316 0.0316 0.0316 0.0316 0.992 0.517 1.00 8.00 4.56 2.00 23.0 14.1
9.002875893010271 0.0316 0.0316 0.0316 0.0316 0.992 0.517 1.00 8.00 4.56 2.00 23.0 14.1
10.002875893010271 0.0316 0.0316 0.0316 0.0316 0.992 0.517 1.00 8.00 4.56 2.00 23.0 14.1
#####################################################################
# End of data export. Simulation finished at: 2024-11-26T13:38+0000 #
#####################################################################
