#####################################################################
# Alchemist log file - simulation started at: 2024-11-26T13:38+0000 #
#####################################################################
#
# seed = 13.0
#
# The columns have the following meaning: 
# time best-value[min] best-value[max] best-value[mean] local-value[min] local-value[max] local-value[mean] path-length[min] path-length[max] path-length[mean] neighbors-size[min] neighbors-size[max] neighbors-size[mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.009347574279108706 0.439 0.439 0.439 0.439 0.439 0.439 1.00 1.00 1.00 0.00 0.00 0.00
1.0093475742791087 0.000260 0.998 0.118 0.000260 0.998 0.468 1.00 9.00 2.57 0.00 20.0 6.78
2.0093475742791087 0.000260 0.0461 0.00375 0.000260 0.998 0.468 1.00 8.00 3.95 3.00 24.0 13.5
3.0093475742791087 0.000260 0.00197 0.000311 0.000260 0.998 0.468 1.00 7.00 4.25 3.00 24.0 13.5
4.009347574279109 0.000260 0.000260 0.000260 0.000260 0.998 0.468 1.00 7.00 4.28 3.00 24.0 13.5
5.009347574279109 0.000260 0.000260 0.000260 0.000260 0.998 0.468 1.00 7.00 4.28 3.00 24.0 13.5
6.009347574279109 0.000260 0.000260 0.000260 0.000260 0.998 0.468 1.00 7.00 4.28 3.00 24.0 13.5
7.009347574279109 0.000260 0.000260 0.000260 0.000260 0.998 0.468 1.00 7.00 4.28 3.00 24.0 13.5
8.009347574279108 0.000260 0.000260 0.000260 0.000260 0.998 0.468 1.00 7.00 4.28 3.00 24.0 13.5
9.009347574279108 0.000260 0.000260 0.000260 0.000260 0.998 0.468 1.00 7.00 4.28 3.00 24.0 13.5
10.009347574279108 0.000260 0.000260 0.000260 0.000260 0.998 0.468 1.00 7.00 4.28 3.00 24.0 13.5
#####################################################################
# End of data export. Simulation finished at: 2024-11-26T13:38+0000 #
#####################################################################
